_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL
9.691887,1000000,0.31974152,4.0,-0.0002948366087719341,-8.370253082588846,1.8048337867019077,0.9999999788666595,1,5.68,0.2,64.14439,0.20619474,0.9983509,1.6673508,0.023047853
8.91491,1000000,0.7510104,4.0,0.07474248526815146,-9.122554837884664,1.6651716476151812,0.9999999860906728,2,8.28,0.2,11.691068,0.15335892,1.005681,1.6642377,0.022316232
8.096952,1000000,0.9141046,4.0,0.15588110070626854,-10.876415883118144,1.5424221548249415,0.9999999877316509,3,10.94,0.2,17.06664,0.21326782,0.9908072,1.6608834,0.022716094
7.676849,1000000,1.0719095,4.0,0.1944586350563232,-8.488089260745173,1.4545371368784832,0.999999988492396,4,13.89,0.2,16.061064,0.20972143,1.0121531,1.6895322,0.0258934
7.34335,1000000,1.0751101,4.0,0.19151183497215918,-10.284209819172878,1.4160281853195105,0.9999999890793394,5,17.28,0.2,3.2258284,0.053747144,0.9862743,1.6297243,0.018913053
6.990543,1000000,1.30451,4.0,0.19917544122108818,-10.389271604286003,1.4089240207410954,0.99999998881633,6,19.93,0.2,3.2407217,0.18383932,1.0071748,1.6282399,0.020450432
6.825116,1000000,1.1141893,4.0,0.15306681829764163,-9.894825574315588,1.3235983513997773,0.9999999892433793,7,22.94,0.2,36.556477,0.13629729,1.0015528,1.6133524,0.03518953
6.695229,1000000,1.2677133,4.0,0.1409030964199172,-12.35667558133435,1.3023837660813038,0.9999999893744475,8,26.06,0.2,8.059451,0.11483579,0.983771,1.5596503,0.027834484
6.535824,1000000,1.2110654,4.0,0.12689906891535133,-10.423959529650686,1.2541045680364498,0.9999999892240198,9,28.74,0.2,5.8164105,0.16482033,0.97388744,1.4856104,0.016918689
6.331596,1000000,1.4234388,4.0,0.12548634752790436,-15.435752396454072,1.2135775821304626,0.999999989520313,10,31.64,0.2,4.0955663,0.08142819,1.0142086,1.4394006,0.026560199
6.232486,1000000,1.2082726,4.0,0.12620716388672062,-13.73265689838106,1.2512698738102652,0.9999999891151928,11,34.1,0.2,5.6285186,0.0065534236,0.9943174,1.3743027,0.042548094
6.091623,1000000,1.166843,4.0,0.13260600235486214,-11.888724891471282,1.2264156315927042,0.9999999890790097,12,37.73,0.2,4.914645,0.10058017,0.9994621,1.3835393,0.013424849
6.054518,1000000,1.2301712,4.0,0.10178609121196795,-11.887652729290608,1.1588267003416688,0.9999999893333774,13,40.25,0.2,4.564886,0.021072675,1.0007157,1.3401883,0.018368043
6.002824,1000000,1.1689157,4.0,0.09987307200560852,-16.330310380363702,1.124072132046819,0.9999999892662702,14,43.29,0.2,49.513817,0.070051305,0.99929667,1.3218623,0.016004914
5.892636,1000000,1.0017428,4.0,0.10663078193599893,-13.54079460126515,1.2071199028249227,0.9999999886158344,15,46.51,0.2,6.2357025,0.047694135,0.9857674,1.2660125,0.016108304
5.818623,1000000,1.1027541,4.0,0.11508100531500504,-13.878107315744211,1.1982237778722171,0.9999999884070547,16,49.0,0.2,19.04463,0.13903916,0.973095,1.2684044,0.011851813
5.81602,1000000,1.1944431,4.0,0.09642765107427116,-15.80087011224597,1.1595120225171038,0.9999999889064883,17,51.91,0.2,38.82137,0.0852292,1.0150017,1.2676152,0.01697874
5.812547,1000000,1.1993433,4.0,0.05171824898142095,-12.20045508052594,1.100455882273861,0.9999999892939668,18,54.82,0.2,3.0755029,0.055446506,0.9766809,1.2149005,0.009629275
5.762608,1000000,1.1660646,4.0,0.049795521819640205,-10.944479069857376,1.127667427586328,0.9999999886648436,19,57.68,0.2,4.16258,0.08124155,0.9914546,1.1786911,0.014583567
5.702227,1000000,0.9047515,4.0,0.06806587581128042,-11.92941168311874,1.1334857075810778,0.9999999886059695,20,60.44,0.2,4.0357327,0.13577233,0.99832565,1.1734887,0.009864865
5.69874,1000000,1.1125376,4.0,0.053097069595940516,-12.212615874195391,1.099135759472998,0.9999999887221996,21,63.95,0.2,59.682102,0.055115685,0.97384197,1.1720251,0.018728409
5.79809,1000000,1.2603744,4.0,0.02397212257482624,-10.574947458422997,1.0628796146135988,0.9999999893313805,22,66.18,0.2,3.3650522,0.09946527,1.0253837,1.1459303,0.008647731
5.731366,1000000,0.96557665,4.0,0.02794141011014744,-13.166028491776187,1.0768937948922135,0.999999989021608,23,68.64,0.2,9.848413,0.027882347,0.9848153,1.1185435,0.01361632
5.66074,1000000,1.048485,4.0,0.03160471041538632,-18.413796549784347,1.062824396100674,0.9999999893468521,24,71.0,0.2,9.067866,0.11828911,1.021805,1.146717,0.010014512
5.7099,1000000,1.1827458,4.0,0.02446267397921552,-12.613202115492667,1.0395477854144586,0.9999999889283591,25,73.56,0.2,64.67754,0.091998786,1.0341493,1.1643715,0.019773543
