_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL
77.852791,1000000,0.004835944,7.5,-0.00046280623063599903,-9.235379108585187,0.9847707125323144,0.9999999985693564,1,4.42,0.2,7.0103674,0.014483116,1.0303689,1.5267606,0.038907286
42.192089,1000000,0.012899303,7.5,0.7809455448000058,-17.335892934532254,2.1406847147807735,0.9999999974255049,2,8.04,0.2,15.947869,0.039303128,0.995092,1.4991853,0.025366886
30.918956,1000000,0.0153856035,7.5,1.9251060964050464,-4.251912345057171,3.882084911600201,0.9999999953269758,3,10.9,0.2,8.727884,0.070822455,0.9776024,1.469996,0.02133973
26.058368,1000000,0.015203844,7.5,2.0600943293182112,-5.351784491000979,4.018182143912113,0.9999999949851947,4,13.86,0.2,10.231605,0.06836998,0.9352648,1.4215062,0.025902342
22.703973,1000000,0.01315722,7.5,2.163488502694262,-4.582207453043719,4.027506105313986,0.9999999945358022,5,17.39,0.2,24.069992,0.1248765,0.996495,1.4316027,0.027675748
21.093498,1000000,0.012907373,7.5,2.155323834803611,-5.361731697951017,4.014764457670309,0.9999999939908307,6,20.64,0.2,63.261497,0.03169594,0.979255,1.3864317,0.03938443
19.892488,1000000,0.01288868,7.5,1.888380008087028,-5.336419797759703,3.7362580287506844,0.9999999939245379,7,24.92,0.2,10.061616,0.04595431,1.0032755,1.3173678,0.03494187
18.955826,1000000,0.011425558,7.5,1.764744818800533,-5.250376946190561,3.511711961392202,0.9999999936069216,8,28.59,0.2,3.8162353,0.14258315,0.9710047,1.297036,0.01539575
18.366738,1000000,0.010855242,7.5,1.5942175075300902,-6.450973897704462,3.3145271495171307,0.9999999932765734,9,33.0,0.2,42.012875,0.007076412,0.9857565,1.2686876,0.036528867
18.029966,1000000,0.01068933,7.5,1.3313398332857262,-8.258684710708815,3.005814265187144,0.9999999933107471,10,36.57,0.2,11.238205,0.14596352,0.95984375,1.2386754,0.020230703
17.711603,1000000,0.010641744,7.5,1.1460056550012887,-9.304861983603354,2.8550954031556834,0.9999999932559513,11,41.29,0.2,8.038637,0.08653486,0.9731303,1.2145027,0.030422471
17.438143,1000000,0.010845656,7.5,0.9749445130838056,-11.230744555258864,2.6459809219260984,0.9999999932305303,12,44.92,0.2,5.1004643,0.12695146,0.96227324,1.1876518,0.015434655
17.19731,1000000,0.009433189,7.5,0.8616342020099906,-6.499856727280156,2.557512936848945,0.9999999930163102,13,48.74,0.2,22.795063,0.057756323,0.97338694,1.1315935,0.026698427
