_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL
53.837873,1000000,0.1360086,12.0,-0.0007428069026988414,-6.343917573447719,2.5117640594175907,0.9999999905591016,1,6.27,0.2,15.273427,0.18878306,0.9959004,2.8509352,0.037068605
52.438297,1000000,0.3406333,12.0,0.04272076343724178,-6.643168384055317,2.5091563010645013,0.9999999943106324,2,12.65,0.2,4.6547027,0.13303976,1.0130394,2.8369942,0.02781331
51.963958,1000000,0.63730705,12.0,0.022947119011643376,-5.46357533347738,2.3941563284190472,0.9999999956379739,3,18.48,0.2,4.1600204,0.14870974,1.0324637,2.8294902,0.035237662
51.817413,1000000,0.94874775,12.0,-0.0013000183075340297,-5.394594568738222,2.15090103690569,0.999999996181297,4,24.01,0.2,10.500859,0.15964486,0.9924987,2.7876205,0.0379541
50.697002,1000000,0.8838742,12.0,0.07796040346319941,-5.661828846991665,2.309964623918083,0.9999999964799565,5,29.41,0.2,10.047508,0.15598321,0.94302857,2.7098262,0.036874913
49.57285,1000000,0.9583079,12.0,0.12433657492787442,-5.078319174030049,2.1984775189559542,0.99999999665621,6,35.58,0.2,3.1558485,0.13858537,1.0252675,2.7115366,0.028217984
49.700241,1000000,1.0721767,12.0,0.07796203439362341,-5.926909604517117,2.0493202461988305,0.9999999969327017,7,42.49,0.2,40.948105,0.1073993,0.94779,2.6266851,0.04272937
48.668837,1000000,1.2630622,12.0,0.10710636124158551,-6.415833730328102,2.1118891457008555,0.9999999969868372,8,48.64,0.2,5.713964,0.15923466,1.0176749,2.617799,0.024579111
48.393426,1000000,1.244149,12.0,0.1032633392924728,-7.1751663019582175,2.0984025245196993,0.9999999971281883,9,53.97,0.2,7.358998,0.17630927,1.0271735,2.5851016,0.023819672
47.479429,1000000,1.1702222,12.0,0.14892042437610797,-6.676811021056235,2.05976008743435,0.9999999969832853,10,60.54,0.2,10.309315,0.19149765,0.92403007,2.5023255,0.02814485
46.206976,1000000,1.2767966,12.0,0.2003412713460898,-6.168289115195232,2.194278585583972,0.9999999969735384,11,67.12,0.2,15.36812,0.1597875,0.95545655,2.4353175,0.028804952
45.790421,1000000,1.18452,12.0,0.19249308704134196,-7.302500594071473,2.0817392645701505,0.9999999970353745,12,72.76,0.2,3.5024953,0.15863265,0.9739827,2.3992662,0.024166154
45.345656,1000000,1.0595,12.0,0.18948000580511568,-6.488099450554328,2.1542858170928953,0.9999999970096891,13,79.03,0.2,5.4358444,0.18717663,0.9836623,2.344461,0.02335884
