_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL
115.81128,1000000,0.08182003,31.5,-7.719785749329147e-05,-5.672709686945407,3.2261042359085224,0.9999999898952938,1,15.48,0.2,8.561998,0.14053994,1.025847,3.8523245,0.059483714
115.041517,1000000,0.2901514,31.5,-0.0012078405800549166,-4.826860336292475,2.9962710214856236,0.9999999941014589,2,30.45,0.2,14.697759,0.06476556,1.0299975,3.8097768,0.05429653
114.660189,1000000,0.41023585,31.5,-0.07257773789803877,-5.336421901708028,2.6741846771660427,0.9999999955467757,3,46.59,0.2,7.9895034,0.0983459,1.0265596,3.749604,0.062125985
113.967764,1000000,0.5282005,31.5,-0.06441370898503909,-5.739234960574099,2.582626051990899,0.9999999962097756,4,62.62,0.2,5.4635987,0.119114414,0.9694333,3.7015407,0.054105233
111.297916,1000000,0.5933369,31.5,0.045273249308615995,-5.24056893849209,2.5926791252083867,0.9999999965705906,5,78.19,0.2,4.5988464,0.11471974,1.0799083,3.6944985,0.04791639
110.593883,1000000,0.6632469,31.5,0.07967908995845156,-5.428062000876561,2.7798125987100146,0.9999999967252424,6,94.23,0.2,5.626179,0.11269753,1.0120549,3.6295536,0.05081793
110.956,1000000,0.82421243,31.5,0.02982460363504995,-4.703246409329774,2.6993070119237315,0.9999999969873663,7,110.3,0.2,4.865758,0.10450273,0.9830756,3.590175,0.043247208
109.48893,1000000,0.82322943,31.5,0.08142400775928615,-5.394815078539528,2.7819529336345137,0.9999999970899496,8,124.93,0.2,9.673746,0.07442635,0.96798164,3.525996,0.048929185
107.204708,1000000,0.83531314,31.5,0.16481094415097444,-5.663138506587863,2.974337154213985,0.9999999970370032,9,139.61,0.2,4.852479,0.11984714,0.9799659,3.474732,0.043151613
104.587838,1000000,0.87599146,31.5,0.2492776024061113,-5.297129179897535,2.8498554462446646,0.999999997129547,10,154.17,0.2,7.075009,0.10837711,1.0123999,3.4257216,0.041621733
105.491111,1000000,0.8575176,31.5,0.1602489710777893,-4.603951905297061,2.8120030325223717,0.9999999972219686,11,168.32,0.2,4.68332,0.12726705,0.96592075,3.355759,0.033514917
103.875771,1000000,0.9039046,31.5,0.1787629585315496,-4.765176414696852,2.8260124296047318,0.9999999972011138,12,182.99,0.2,4.7612453,0.12590195,0.9699665,3.3227317,0.030984985
101.892774,1000000,0.87749445,31.5,0.23775939182677006,-5.863862750764606,2.90388588916361,0.9999999972339373,13,197.64,0.2,5.9781647,0.14828603,0.9744484,3.2763133,0.033631958
101.138315,1000000,0.82768106,31.5,0.2110612931492727,-5.2055476643420375,2.8717189714745306,0.9999999972547835,14,211.97,0.2,4.3320737,0.069099136,0.935744,3.199515,0.03484757
100.026632,1000000,0.85120124,31.5,0.2232747010097136,-4.790062548899337,2.7778924854428495,0.9999999972423802,15,226.91,0.2,5.7603474,0.15602195,1.0100676,3.145278,0.03371052
99.367252,1000000,0.89921796,31.5,0.18171779708768435,-4.912760207682764,2.854425374433079,0.9999999972163135,16,241.59,0.2,6.765058,0.1458894,1.004209,3.099835,0.030630818
98.966595,1000000,0.8760313,31.5,0.21016540533330863,-6.077235327578591,2.8051549642535263,0.9999999972129703,17,255.86,0.2,4.6339054,0.10587564,1.0443499,3.0648403,0.031219676
98.150246,1000000,0.8480119,31.5,0.21205815766981362,-5.757277998199266,2.706131350866172,0.9999999972167527,18,270.92,0.2,223.7666,0.046400156,1.0196208,3.0626285,0.03858852
97.560189,1000000,0.8656864,31.5,0.19982582679895355,-5.709496556677348,2.7726857956607613,0.9999999972550425,19,285.5,0.2,4.1309032,0.11529743,0.9668481,2.9927514,0.028584931
97.730687,1000000,0.93792284,31.5,0.14814872989845065,-4.668358962002412,2.644273224995301,0.9999999972739075,20,299.75,0.2,4.7972918,0.12426818,0.94669646,2.9039996,0.032107547
96.743023,1000000,0.9429241,31.5,0.18167337652530566,-4.520484761628902,2.6992128276616856,0.999999997289788,21,314.85,0.2,5.2199845,0.09715519,1.0411714,2.9029737,0.02672497
95.133267,1000000,0.86749727,31.5,0.21526136256585524,-6.256094740331526,2.768920467875926,0.9999999972509404,22,330.22,0.2,5.8308964,0.12891935,0.95759684,2.8527193,0.026575046
94.31656,1000000,0.8363425,31.5,0.22330790014509933,-4.796347824942719,2.72297327947328,0.9999999971953796,23,343.98,0.2,5.4463744,0.15554091,1.011871,2.8315413,0.024559963
92.840627,1000000,0.80219483,31.5,0.2543978042357052,-4.648605408114883,2.7415188346300874,0.9999999971717412,24,358.1,0.2,4.7650223,0.13115838,0.9718972,2.8007874,0.026839923
92.416086,1000000,0.8824115,31.5,0.22855055035222005,-4.898023796262811,2.9678705958800586,0.999999997204297,25,371.69,0.2,5.959548,0.16158062,1.0172629,2.7727313,0.027552055
92.448642,1000000,0.8899239,31.5,0.1981986680635445,-5.982290054708009,2.5959232042927094,0.9999999972979291,26,385.64,0.2,5.025695,0.1187791,0.8990262,2.697979,0.02965599
91.703833,1000000,0.82941604,31.5,0.24352305391159312,-5.130571449157385,2.6817516075143986,0.9999999972369238,27,399.65,0.2,5.478277,0.121942915,0.98915464,2.6726363,0.02443036
90.986766,1000000,0.89951944,31.5,0.2013000986685964,-4.917850186335684,2.702129349453618,0.999999997239189,28,413.24,0.2,5.682898,0.12796679,0.92843026,2.6197314,0.025789931
90.203646,1000000,0.8446186,31.5,0.1939337542460607,-4.760868500223911,2.6103244500803005,0.9999999972142063,29,427.51,0.2,3.9383087,0.11763792,0.9490332,2.5694578,0.02185017
89.381083,1000000,0.8628548,31.5,0.1969621701066068,-4.708160630597841,2.798809271373101,0.999999997193597,30,441.56,0.2,5.868116,0.12569669,1.0083448,2.543925,0.02373355
88.690316,1000000,0.87721187,31.5,0.20214335584479554,-4.868775837777535,2.626967126866256,0.999999997177393,31,455.17,0.2,6.2314343,0.1429928,1.0452362,2.527012,0.024126003
88.899275,1000000,0.89248174,31.5,0.16795218318177274,-6.036331885529485,2.638408974445972,0.9999999972563551,32,469.2,0.2,6.876079,0.10061792,0.9907425,2.5039654,0.028661603
88.430439,1000000,0.86950475,31.5,0.16024620148005397,-5.23512555595157,2.586416737558563,0.9999999972317755,33,483.09,0.2,5.5154953,0.10829011,0.93028456,2.4694371,0.025713405
87.584717,1000000,0.87722266,31.5,0.16578059587761249,-5.02067367235624,2.558635879029705,0.9999999972247132,34,496.72,0.2,6.711743,0.11355944,0.9944026,2.4355783,0.023518274
86.81135,1000000,0.80192316,31.5,0.16225504543747798,-5.22204197912023,2.463339471204719,0.9999999972700103,35,510.73,0.2,5.4650292,0.10663711,0.9723332,2.3954377,0.02271677
85.932393,1000000,0.91666365,31.5,0.18916246175181922,-4.882764320800581,2.6194523632003146,0.9999999971981554,36,524.38,0.2,5.9231687,0.106869385,0.9643638,2.3755097,0.021033471
86.032982,1000000,0.8358952,31.5,0.15052531564922544,-5.132666384780603,2.61951975302407,0.9999999972454297,37,538.08,0.2,5.464751,0.108768605,0.9884115,2.3421662,0.022131795
85.791854,1000000,0.93558455,31.5,0.15243343258194458,-4.594845898145787,2.5526193616550032,0.9999999972327882,38,551.91,0.2,7.353903,0.117394835,1.0166408,2.322209,0.020256015
85.082854,1000000,0.8693214,31.5,0.17405499194461843,-4.660068782355971,2.4992316442516844,0.9999999972129445,39,565.51,0.2,6.864672,0.120132364,0.97913235,2.2972944,0.020464512
84.535328,1000000,0.9226741,31.5,0.1851377230819409,-5.245461385132219,2.6467245619055815,0.9999999972318004,40,579.53,0.2,22.694883,0.10322015,1.0261526,2.2920063,0.02704765
83.572609,1000000,0.8867898,31.5,0.23094993448366544,-5.897355462414971,2.7329348894965664,0.9999999971880043,41,593.25,0.2,7.21311,0.10638936,1.0267472,2.2683372,0.024007332
83.865767,1000000,0.94229066,31.5,0.17067042278671352,-4.394447144810252,2.538207407921064,0.9999999972182633,42,606.83,0.2,7.213399,0.10826234,0.9924935,2.2390819,0.020700334
82.531514,1000000,0.89411527,31.5,0.1848716434036474,-5.294170416632104,2.6300606199673036,0.9999999972580944,43,620.97,0.2,6.1617293,0.11105263,0.91085416,2.2066922,0.020158732
82.653791,1000000,0.9457357,31.5,0.16242455174364892,-5.521444116639413,2.585610337694666,0.9999999972700998,44,635.06,0.2,5.907807,0.14261174,0.94649494,2.1862395,0.018991172
82.218119,1000000,0.9030115,31.5,0.15491689877933548,-5.852661528015588,2.4571882781039913,0.999999997284541,45,649.42,0.2,13.322225,0.10622162,1.0403758,2.1765873,0.019578522
81.446338,1000000,0.883913,31.5,0.17398712324726273,-5.29599684245689,2.572560946553302,0.9999999972186981,46,663.34,0.2,6.2954464,0.104746886,0.9919265,2.1745024,0.021416303
80.91082,1000000,0.89214593,31.5,0.1651318099894307,-5.479836355346921,2.4791615833014817,0.9999999972230482,47,677.85,0.2,5.3462877,0.08822129,0.9003937,2.14596,0.019468877
81.119529,1000000,0.92799616,31.5,0.13940646645382324,-5.831564672282129,2.5224062405539747,0.9999999973273154,48,693.67,0.2,8.201255,0.10614173,1.062068,2.1362784,0.022019967
80.611549,1000000,0.89260715,31.5,0.1263008033946985,-5.186629771185416,2.4538058323741483,0.9999999972566558,49,708.66,0.2,8.0205765,0.1387745,0.988693,2.0873523,0.02097784
80.284101,1000000,0.89251596,31.5,0.12397413989455054,-5.024636583604916,2.457376640029238,0.9999999972480004,50,723.73,0.2,7.318426,0.12065011,0.9844201,2.0648172,0.01906781
80.566383,1000000,0.94097984,31.5,0.09517037993547046,-4.930901025961766,2.398380682958156,0.9999999972399723,51,738.86,0.2,9.377679,0.11451681,1.0275395,2.0434413,0.021033833
79.770824,1000000,0.94749534,31.5,0.10132045909538753,-4.910450354317193,2.4445911036524577,0.9999999972903446,52,753.76,0.2,18.26942,0.104581244,0.9537167,2.0201035,0.019555617
79.257063,1000000,0.9289959,31.5,0.11473133384750035,-5.71653732529916,2.523509261889841,0.9999999972917245,53,768.55,0.2,9.177465,0.102801755,0.9933123,2.0122068,0.02060351
79.41643,1000000,0.948312,31.5,0.12112774305922547,-5.0088111512507325,2.3694721944418267,0.9999999973106797,54,782.44,0.2,8.195238,0.07364841,1.011655,1.991185,0.023673324
79.046984,1000000,0.886291,31.5,0.09853122554452033,-4.518386575701128,2.433210963437647,0.9999999972598063,55,795.87,0.2,7.375887,0.06463061,0.97572917,1.9792303,0.02066458
78.328543,1000000,0.94119245,31.5,0.1087034662140972,-4.7919905260755185,2.4059185264884793,0.9999999972820829,56,811.28,0.2,6.3702655,0.032588225,1.0310094,1.9697225,0.016951343
78.590074,1000000,0.9804916,31.5,0.07002709240462955,-5.269215966541561,2.3813056925431706,0.9999999972648782,57,828.14,0.2,6.4433956,0.11041847,0.99181867,1.9496846,0.017980648
78.478188,1000000,0.94070166,31.5,0.05463505506841941,-4.836191636150806,2.4217915310735845,0.9999999972882998,58,843.02,0.2,7.842547,0.084409975,1.02514,1.944137,0.01784529
77.612449,1000000,1.029776,31.5,0.07677562559381719,-5.353407063934939,2.4117222906119737,0.9999999972399548,59,857.89,0.2,6.1520615,0.11555402,0.9425186,1.921729,0.01719496
77.450445,1000000,0.9407927,31.5,0.0807473725625845,-6.56906085478122,2.2924434023636824,0.9999999973000215,60,871.78,0.2,7.3362403,0.11611232,1.050494,1.9055231,0.018268015
77.343673,1000000,0.9939993,31.5,0.05785253657945136,-5.473553386518397,2.382408794318473,0.9999999972542603,61,885.48,0.2,8.512809,0.08543291,0.98931336,1.8967036,0.021244468
76.976855,1000000,0.9651934,31.5,0.062151959576710304,-5.116546322209871,2.3402282589689483,0.9999999972928088,62,899.72,0.2,9.42999,0.07178078,0.95588374,1.881933,0.019239739
77.164453,1000000,0.94339216,31.5,0.05758781419036853,-4.982444015652395,2.4521330228898255,0.9999999973084712,63,914.14,0.2,9.295805,0.08400687,0.92777485,1.8534219,0.019197864
76.788476,1000000,0.9461278,31.5,0.03590655676198032,-4.704892582368834,2.2666052501777423,0.9999999973237538,64,928.2,0.2,6.911031,0.07913937,1.040924,1.8521788,0.017439015
75.956102,1000000,0.9396793,31.5,0.07320091619822136,-5.045505566009575,2.4002929390904404,0.9999999972245713,65,942.62,0.2,8.268373,0.08666655,1.0123881,1.8404388,0.017774772
