_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL
9.064641,1000000,0.40362093,1.5,-0.0002889849913043384,-8.698769267753416,1.7786524603104223,0.9999999855413667,1,3.66,0.2,3.0991647,0.067141145,0.97013587,0.95417213,0.04857614
8.514709,1000000,0.82544404,1.5,0.04414468102063656,-8.803721359397555,1.625392082230361,0.9999999901443472,2,4.89,0.2,3.7653863,0.26305962,1.0685779,0.9376389,0.018997628
8.302791,1000000,1.1970651,1.5,0.06943179012668158,-8.973547019515708,1.512903625688553,0.9999999914575771,3,6.28,0.2,3.5823665,0.16111796,1.0196002,0.857998,0.020070888
8.063363,1000000,1.2750031,1.5,0.06360638152118227,-10.804413302971938,1.3956827223582329,0.9999999923392969,4,7.8,0.2,6.6312165,0.13861533,0.92181534,0.79117936,0.015354344
7.849082,1000000,1.3566146,1.5,0.06589896026526748,-10.217136188399586,1.4527246734932755,0.9999999922921228,5,9.17,0.2,2.9859085,0.35299724,1.0211909,0.7493999,0.015279674
7.807557,1000000,1.2341644,1.5,0.06607659355027658,-8.701077800695423,1.4354908922324858,0.9999999923294361,6,11.33,0.2,3.4570334,0.37288827,1.0824769,0.7560455,0.007867938
7.653776,1000000,1.3549103,1.5,0.07358930241413943,-14.461544315389256,1.3544123892675488,0.9999999925335478,7,12.96,0.2,2.8534768,0.24273758,0.97178733,0.73335725,0.010801641
7.66299,1000000,1.2755315,1.5,0.04845357646481864,-10.067037829454206,1.4696288445107515,0.9999999919714095,8,14.35,0.2,2.529124,0.063412376,0.94219375,0.6900288,0.009649662
7.685482,1000000,1.2549357,1.5,0.046124548392613894,-11.876964945498402,1.410202876908652,0.9999999922160488,9,15.86,0.2,4.241089,0.17181505,0.9671293,0.6598848,0.013574174
7.564255,1000000,1.1855909,1.5,0.06710330530038648,-9.637443987624929,1.4581593089945688,0.9999999918535442,10,17.2,0.2,5.917343,0.3503051,1.060149,0.6507216,0.009643678
