_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,_lr_multiplier
5.816364,500000,0.6100546,1.7374626262626263,-0.005640509657270601,-7.378449755347266,1.5853556480589295,0.9999999885251365,1,0.22,0.2,25.091806,0.017537061,0.99972653,0.3628646,0.021796014,1
5.658074,500000,0.8202561,1.7508545454545454,0.06319633128484341,-8.43362142306827,1.7275127860275032,0.9999999903062636,2,0.49,0.2,14.384446,0.037437983,1.000349,0.36477152,0.017150644,1
5.632392,500000,1.02831,1.7433535353535354,0.0584148178890185,-7.594717262687571,1.471030630199481,0.9999999913943527,3,0.77,0.2,10.015486,0.017353332,1.0003036,0.36466497,0.008987,1
5.57741,500000,0.99876803,1.7431717171717171,0.09863187313615321,-8.78600711773507,1.485107168354162,0.9999999912024404,4,1.06,0.2,8.606123,0.08170903,1.0002851,0.35801247,0.013713123,1
5.498448,500000,1.0662613,1.755389898989899,0.09656806989775782,-8.795460671796604,1.425953792990754,0.999999991851893,5,1.33,0.2,6.666612,0.04931706,1.0000823,0.36464223,0.019336322,1
5.510756,500000,1.1247181,1.755,0.028530566504139893,-7.607797073032496,1.3635858755379116,0.9999999916074189,6,1.62,0.2,10.692003,0.07503548,1.0002993,0.35215256,0.010914737,1
5.61879,500000,1.2556562,1.7606828282828282,0.027134127641564983,-9.360823847475414,1.313099610846986,0.9999999923050447,7,1.91,0.2,8.351161,0.087109156,1.0002973,0.35319752,0.013646735,1
5.44562,500000,1.0719259,1.763559595959596,0.04478217328378558,-10.262149016472845,1.373079427640692,0.9999999917701708,8,2.19,0.2,6.417402,0.092118315,1.0001528,0.35404384,0.011124442,1
5.433378,500000,1.094613,1.7535333333333334,0.03350749882035223,-12.69790946982625,1.4376792557676694,0.9999999915550013,9,2.46,0.2,10.141506,0.026369024,0.9999032,0.33995378,0.010556426,1
5.429308,500000,1.0794517,1.7454444444444444,0.054684719952909744,-10.908003203780567,1.4867683730157066,0.9999999913075878,10,2.74,0.2,21.8515,0.04019938,0.99926925,0.3325978,0.013397625,1
5.237218,500000,0.95659834,1.7512545454545454,0.09201743335788988,-7.607656225924862,1.4731294023887314,0.9999999904247152,11,3.02,0.2,15.61768,0.021678831,1.000145,0.32125133,0.013876868,1
5.341482,500000,0.99325716,1.7503191919191918,0.04469387176328544,-9.112524097629441,1.4091438099101516,0.9999999910028654,12,3.29,0.2,14.293155,0.03596726,0.9998064,0.3178038,0.010155385,1
5.41588,500000,1.0392882,1.7610646464646464,0.06355525476248104,-8.466058169413678,1.470107813282239,0.9999999917809864,13,3.57,0.2,12.494489,0.038027693,1.0003883,0.32675534,0.012792435,1
5.386388,500000,1.2033406,1.762490909090909,0.05833166213061083,-12.372771534576039,1.2926469145362298,0.9999999920499995,14,3.84,0.2,8.279566,0.067941494,1.0002176,0.31353548,0.0082567725,1
5.374224,500000,1.0325887,1.7567676767676768,0.06349240337268328,-8.49192388548461,1.484605028496553,0.9999999914877419,15,4.13,0.2,5.7539682,0.12627502,1.0001258,0.30853668,0.00515989,1
5.356522,500000,1.135157,1.755389898989899,0.07953625632359086,-9.381697008412518,1.38136716376315,0.9999999917973412,16,4.41,0.2,8.558874,0.0064476426,0.999917,0.30360323,0.0061742216,1
5.376384,500000,1.1791998,1.7661535353535354,0.08804139887130868,-10.221478187407582,1.368476041059385,0.9999999918730289,17,4.68,0.1,2.1981692,0.39683795,0.99995816,0.30018055,0.0010914686,0.5
5.32222,500000,1.129621,1.760438383838384,0.07230437023829886,-11.088533251370793,1.2817661835994731,0.9999999920980951,18,4.96,0.1,3.5309808,0.12810898,1.0001607,0.3036519,0.0027035114,0.5
5.36856,500000,1.1961126,1.768008080808081,0.04170361022863558,-11.39370469163311,1.2160530565000278,0.9999999924433867,19,5.24,0.1,3.2464955,0.12599057,0.9998609,0.29849467,0.0029263336,0.5
5.322798,500000,1.1311159,1.7505676767676768,0.054517855780349365,-9.267378120888662,1.3553374693502613,0.9999999915196057,20,5.52,0.1,5.467941,0.1293576,1.0000564,0.29437822,0.003915524,0.5
5.267002,500000,0.87461644,1.747991919191919,0.059319940014214985,-9.494130079697301,1.4096489886730594,0.9999999908787303,21,5.79,0.1,5.1052117,0.17395052,1.000034,0.2935547,0.0013910881,0.5
5.292308,500000,1.165822,1.750749494949495,0.039655643373974564,-9.801365742120037,1.316052302089293,0.9999999917216973,22,6.07,0.1,2.8851254,0.16913606,0.9998504,0.29742613,0.0027031389,0.5
5.226212,500000,1.1235306,1.758789898989899,0.035417435160594195,-10.359659870307604,1.3398115770027328,0.9999999912744943,23,6.36,0.1,4.4840255,0.17062104,0.9998525,0.29537666,0.0023659598,0.5
5.31819,500000,1.1324224,1.766179797979798,-0.003754557076330372,-9.679295363169858,1.2102725971940846,0.9999999917772182,24,6.65,0.1,3.6479335,0.16000701,1.0000461,0.29233214,0.00342952,0.5
5.297844,500000,1.0253013,1.7700727272727272,-0.02204665377272591,-10.341736480273703,1.3766264279180007,0.999999991159385,25,6.92,0.1,4.7417636,0.07703074,0.99988145,0.29018486,0.0027069168,0.5
5.377536,500000,1.2737992,1.7739757575757575,-0.014016925020974576,-10.070600892044267,1.134963900874601,0.9999999925354119,26,7.2,0.1,5.268446,0.17581731,1.000025,0.28986293,0.004018415,0.5
5.272124,500000,1.224948,1.7668040404040404,0.02195000187734433,-10.904481739111661,1.2649848130179921,0.9999999921969124,27,7.49,0.1,3.843443,0.13764153,1.0001616,0.2875349,0.0034516465,0.5
5.359798,500000,1.1786214,1.7550969696969696,0.013429152290074808,-10.400306368759399,1.2238989846392772,0.9999999921630441,28,7.76,0.1,3.0885725,0.26015106,0.99997854,0.28949192,0.0025097977,0.5
5.201374,500000,0.9638126,1.755149494949495,0.0450947469093193,-10.565431279555655,1.3838213977727016,0.9999999909472704,29,8.05,0.1,7.5068827,0.020818258,0.99972,0.29994565,0.008168412,0.5
5.250418,500000,0.83466375,1.753979797979798,0.0672985649964664,-11.49125232396028,1.396868356128477,0.9999999906085579,30,8.33,0.1,3.8017042,0.19551495,0.99996185,0.29985115,0.0029517957,0.5
5.240066,500000,0.9084642,1.75649898989899,0.06950887095583429,-10.437814754279588,1.3978798238509949,0.9999999910755965,31,8.61,0.1,7.368276,0.18491866,1.0000722,0.29894426,0.0016492143,0.5
5.325094,500000,0.96239203,1.7660181818181817,0.04539778892252124,-9.67263814480261,1.293128706247899,0.9999999917134692,32,8.88,0.1,5.244434,0.14888673,0.9999081,0.30041045,0.003978097,0.5
5.24381,500000,1.013629,1.7610424242424243,0.03907482966436672,-12.05236025611292,1.266433088139169,0.999999991829755,33,9.16,0.1,4.0358005,0.17418912,0.99994785,0.30246753,0.0023609889,0.5
5.356368,500000,1.1808819,1.767721212121212,0.013738435211346333,-11.25544780948133,1.2334430974458561,0.9999999919763156,34,9.44,0.1,4.170393,0.0756307,1.0001416,0.3011054,0.003543711,0.5
5.249944,500000,1.1752858,1.7724363636363636,0.031824090953984925,-10.5047206568146,1.2853404411601084,0.9999999915146197,35,9.72,0.1,3.4278505,0.23102227,0.9999943,0.30246663,0.0027236526,0.5
5.2412,500000,1.2153726,1.7854828282828283,0.033371437661065644,-10.151024639135958,1.3384565387511704,0.9999999913596219,36,10.0,0.1,3.9327638,0.10731933,1.0001892,0.29931673,0.0018959276,0.5
5.252554,500000,0.9692643,1.780589898989899,0.013346716723531169,-15.102562111197198,1.207904119051089,0.9999999917956806,37,10.28,0.1,3.3717928,0.18851285,0.99994737,0.29418454,0.0022700673,0.5
5.307548,500000,1.3616079,1.7756868686868688,0.0018285168287221311,-11.792198285566096,1.175201511791576,0.999999992182574,38,10.55,0.1,5.489545,0.117191695,0.9999607,0.29742348,0.004172045,0.5
