_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,_lr_multiplier
11.379902,500000,0.5987454,1.1211353535353534,-0.006640049099568699,-5.131601964395483,2.014811417622744,0.9999999918301541,1,0.25,0.2,14.247404,0.03228115,1.0001171,0.1557845,0.0127592115,1
11.330402,500000,1.0150274,1.1208646464646466,0.023690307075258175,-5.653722319996264,1.952111768800531,0.9999999938138833,2,0.54,0.2,10.534662,0.03641167,0.99989295,0.15118378,0.009123069,1
11.210254,500000,1.2283802,1.115389898989899,0.02787249283959952,-5.9629133337349485,1.7793867376356112,0.9999999943378415,3,0.86,0.2,8.0115595,0.09976943,0.99978673,0.15114811,0.005296563,1
11.142354,500000,1.2036242,1.1168585858585858,0.008804105468337363,-6.030910379093514,1.8282887756178419,0.9999999943979246,4,1.16,0.2,15.625266,0.0594481,1.0001081,0.14731313,0.005176527,1
11.036084,500000,1.2272869,1.111610101010101,0.02512310476590802,-7.039957961943359,1.800021914348697,0.9999999944740936,5,1.48,0.2,7.370332,0.09941712,0.99991494,0.14066692,0.005521351,1
11.044868,500000,1.3044964,1.1064767676767677,0.0006182492360880773,-6.489517292669509,1.8687070561347956,0.9999999945925349,6,1.78,0.2,6.2690096,0.13829729,0.9998769,0.14331521,0.004096785,1
11.063102,500000,1.3382158,1.1047454545454545,-0.010466192072744119,-6.773179267276022,1.8129687296423507,0.9999999946046346,7,2.12,0.2,5.059854,0.1379023,0.99975324,0.1385058,0.0034852226,1
10.994394,500000,1.3546576,1.1055030303030302,0.026179263656945617,-8.26227179756864,1.6850047111743676,0.9999999946245914,8,2.42,0.2,8.568864,0.020322112,1.000186,0.1368216,0.0037890393,1
10.947842,500000,1.2148628,1.1008626262626262,0.04787060565653479,-5.814887905507459,1.8304244423631273,0.9999999945699635,9,2.74,0.2,5.206789,0.090908475,1.0000336,0.13161848,0.005320117,1
11.008974,500000,1.3125991,1.1018484848484849,0.06256006172914448,-8.317350692390342,1.7630228870538842,0.9999999947069403,10,3.05,0.2,8.722172,0.03051755,1.0000746,0.13446204,0.004276865,1
11.055398,500000,1.3253121,1.0993070707070707,0.07269068901081616,-6.498187008738756,1.8008381214644025,0.9999999946186804,11,3.39,0.1,2.9492328,0.19739053,1.0000305,0.13312037,0.001075288,0.5
11.076678,500000,1.4111049,1.0993515151515152,0.05526716185618815,-8.347703311790319,1.7416517219242647,0.9999999948750083,12,3.69,0.1,3.2092457,0.3260331,1.0001765,0.13379885,0.0012447932,0.5
11.031712,500000,1.3838778,1.1017272727272727,0.050242578762519086,-6.754170673643771,1.6938421909591312,0.9999999948360255,13,4.04,0.1,2.1682186,0.31451514,0.9999909,0.13003828,0.0014855785,0.5
10.965518,500000,1.4278103,1.099840404040404,0.05349682834638747,-7.759722349296977,1.651130383296283,0.9999999949343964,14,4.35,0.1,3.7716804,0.13542137,0.9998792,0.12565804,0.0019999351,0.5
11.05748,500000,1.398887,1.095610101010101,0.039317474325079135,-8.16980175700775,1.6654197764318184,0.9999999951441644,15,4.7,0.1,3.5053508,0.27036685,1.0001041,0.12963866,0.0027584224,0.5
10.910456,500000,1.3239542,1.1013979797979798,0.07135654504865536,-6.979220404253725,1.8822688918489905,0.999999994650295,16,5.05,0.1,3.2785044,0.20869306,1.0000433,0.13021632,0.0020337752,0.5
10.864642,500000,1.2190883,1.1018040404040403,0.07866217070588923,-7.198552481084565,1.733370521307914,0.9999999945715649,17,5.4,0.1,5.0883207,0.2140893,0.9999059,0.13184045,0.0015896265,0.5
10.8654,500000,1.3068403,1.1054969696969696,0.041002398281129,-7.408961041181241,1.8358117417525233,0.9999999945601238,18,5.72,0.1,2.8988626,0.17936756,0.9999346,0.12850703,0.0015648479,0.5
10.964494,500000,1.3441018,1.104339393939394,0.03312843863474905,-8.793031854185529,1.7868908267832209,0.9999999947998027,19,6.07,0.1,4.656938,0.090961054,0.9999009,0.12843378,0.001721422,0.5
10.875506,500000,1.2733263,1.1033474747474747,0.05549460035236973,-7.404534802291762,1.7896548788070752,0.9999999945803321,20,6.43,0.1,5.585459,0.12535873,1.0000618,0.12771703,0.002001136,0.5
