_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,_lr_multiplier
14.695348,500000,0.568091,2.4946606060606062,-0.004625153856877927,-8.612757685970683,1.9498821329461284,0.9999999946174162,1,0.28,0.2,15.878731,0.009223824,1.0000015,0.29866153,0.017486053,1
14.659914,500000,0.8604936,2.4978525252525254,0.044067549246145185,-6.842333154493017,1.948181463489543,0.9999999959155192,2,0.62,0.2,13.739826,0.035962004,1.0002046,0.30498657,0.009522564,1
14.642972,500000,1.0962213,2.4945535353535355,0.059557244608566526,-5.865457578468006,1.876200592298923,0.9999999963359137,3,0.96,0.2,8.847094,0.054793335,1.0000914,0.31135258,0.0065965625,1
14.839086,500000,1.295675,2.4995353535353537,0.044229327229102375,-5.4973271189585455,1.731091702391708,0.9999999966368522,4,1.3,0.2,8.445773,0.13926437,0.9999137,0.31774434,0.008357012,1
14.961706,500000,1.3974477,2.4945656565656567,0.03193737424037438,-7.735046105037226,1.6516899805455119,0.999999996914976,5,1.64,0.2,13.023408,0.0064637423,1.0001549,0.31836492,0.012665374,1
14.786798,500000,1.4452229,2.4899717171717173,0.05751666299409723,-5.800027301737288,1.832719654532908,0.9999999968198452,6,1.98,0.2,5.7974443,0.11210448,1.0003228,0.3212306,0.006489231,1
14.61331,500000,1.407459,2.4894949494949494,0.0390059306159747,-5.676032217693386,1.669578730341303,0.9999999968625017,7,2.32,0.2,5.410817,0.12423867,0.9999037,0.3213438,0.008075665,1
14.960034,500000,1.4804333,2.4955292929292927,0.02117997392102974,-6.756863538559589,1.5763488594136548,0.9999999969592067,8,2.66,0.2,5.7159834,0.096187286,1.0001799,0.32480988,0.010056363,1
14.781866,500000,1.437768,2.4996747474747476,-0.0010316372828197498,-5.6113678542437615,1.7316846504784378,0.9999999968849739,9,3.0,0.2,7.5367255,0.044599015,0.99977714,0.3233246,0.0147168245,1
14.69908,500000,1.4968584,2.494078787878788,-0.0065970956881184995,-6.591193551242188,1.7746305301947132,0.999999996817975,10,3.34,0.2,13.583757,0.04861155,0.9998365,0.32013708,0.021208223,1
14.741194,500000,1.5378222,2.493181818181818,-0.0170352612656405,-7.334334377073638,1.5412242471705173,0.9999999969859988,11,3.71,0.2,7.0161595,0.08042263,1.0001498,0.31682345,0.0077851075,1
14.7027,500000,1.3920397,2.4870343434343436,-0.0010604150804989457,-6.879712778456272,1.6248052467879448,0.9999999968828255,12,4.05,0.2,8.620792,0.04146398,1.0003846,0.31413284,0.009620671,1
14.742522,500000,1.4247673,2.4890989898989897,0.008477862188139501,-6.90589526587896,1.6670490199231682,0.9999999969394723,13,4.4,0.2,6.0640454,0.008285228,1.0000638,0.31203663,0.009056887,1
14.866498,500000,1.476952,2.4928464646464645,0.005725562152755953,-6.742047412097837,1.688595159246383,0.999999996946695,14,4.74,0.2,5.3749914,0.10710227,1.0000468,0.31337494,0.011908387,1
14.835936,500000,1.4543923,2.4926262626262625,0.020198445810040842,-6.835376387739665,1.6275881534683978,0.999999996879925,15,5.08,0.2,9.578121,0.019424766,1.0000852,0.31030986,0.008916072,1
14.936464,500000,1.4953536,2.4966909090909093,-0.0067919539974957525,-7.241238993357149,1.5551689701591864,0.9999999970171981,16,5.44,0.2,14.39342,0.034435906,1.0000858,0.3125943,0.014319692,1
14.955114,500000,1.626395,2.4946747474747473,0.000441655954729331,-8.870896749904716,1.574650876530616,0.99999999705106,17,5.78,0.2,4.58731,0.18947783,1.0001692,0.31280416,0.005875082,1
15.136638,500000,1.5852512,2.497272727272727,-0.04081616859922215,-6.363483032497469,1.6254417587273733,0.9999999971213029,18,6.12,0.2,5.267286,0.12981668,1.000146,0.31153202,0.0077056345,1
14.84696,500000,1.4010626,2.494850505050505,0.017756207827350604,-7.03293092911511,1.655856226351253,0.9999999968877353,19,6.47,0.2,15.018548,0.037074186,1.0000596,0.30807948,0.008462266,1
14.906852,500000,1.4012315,2.492812121212121,0.01817984243738941,-6.217001081652976,1.6652119970114752,0.9999999969797834,20,6.82,0.2,10.568045,0.015760785,0.9999667,0.30841783,0.009992295,1
14.870278,500000,1.5412769,2.4887555555555556,0.01632768679130396,-6.627591312042156,1.6145850213714945,0.999999996975622,21,7.16,0.2,9.295765,0.045674298,0.9998149,0.30893615,0.006779418,1
14.815658,500000,1.3675859,2.4900343434343433,0.06448737112823479,-9.021623188215603,1.701415641726148,0.9999999967740446,22,7.5,0.2,11.419547,0.027274955,0.99981683,0.30898535,0.007515842,1
14.922518,500000,1.442654,2.4886626262626264,0.030082875371513926,-9.376299672888601,1.7794987353453409,0.9999999968893953,23,7.83,0.2,10.9224,0.076723404,1.0001311,0.31233826,0.0065079047,1
14.855104,500000,1.3465958,2.483262626262626,0.06415399651415671,-6.815170001667964,1.695190088017622,0.9999999968419723,24,8.19,0.1,2.7309783,0.25140452,0.9998622,0.31224737,0.0027777762,0.5
15.045476,500000,1.4922936,2.489789898989899,0.03238718497498595,-7.537836666038046,1.568535829264408,0.9999999970257031,25,8.53,0.1,2.9186,0.27466223,1.0000257,0.31150952,0.0019609786,0.5
14.959308,500000,1.4437093,2.4916181818181817,0.06045223583612159,-7.67898136904253,1.7177412284742761,0.9999999969797895,26,8.87,0.1,4.3160386,0.14830053,0.9999558,0.31106257,0.0041139782,0.5
