_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,_lr_multiplier
24.28571,500000,0.48695174,11.568771717171717,-0.009384075867829583,-5.766075162887188,1.9377119877036255,0.9999999964401174,1,0.93,0.2,8.262632,0.093308255,0.99944234,1.2400082,0.024443902,1
24.600736,500000,0.91930425,11.554923232323233,0.01419874902796881,-5.841842325453401,2.1062803700718837,0.9999999974042543,2,1.99,0.2,6.873463,0.14025806,0.9997891,1.2638899,0.019354712,1
24.88712,500000,1.1350204,11.53470101010101,0.03705457779740256,-4.961506464335122,1.9096568454464893,0.999999997738507,3,2.99,0.2,6.56111,0.09274882,0.99952185,1.2618222,0.01695156,1
24.89198,500000,1.2444781,11.537684848484849,0.014410668348775416,-6.701871914213192,1.985606048807197,0.9999999978371509,4,4.03,0.2,7.6155167,0.13005252,1.0004247,1.271114,0.01606096,1
24.644182,500000,1.2486026,11.532169696969698,0.04774981745094021,-5.422604576902981,1.9298326484658108,0.9999999978150396,5,5.1,0.2,6.073723,0.19638966,0.9996148,1.2562858,0.01250832,1
24.63363,500000,1.2790929,11.532361616161616,0.08147372815935541,-5.310940044721732,1.9407962227941602,0.9999999979355139,6,6.14,0.2,4.1927857,0.2134165,1.0005233,1.2441722,0.015731521,1
24.776594,500000,1.4085522,11.521464646464647,0.08171915529628021,-5.860180548800525,1.874875674682436,0.9999999979871882,7,7.17,0.2,4.8178687,0.07113244,0.9998996,1.2288525,0.015037088,1
24.560864,500000,1.3860162,11.539381818181818,0.0879595407898951,-5.154069879578672,1.9345379989256892,0.999999997948874,8,8.22,0.2,4.793374,0.16595167,0.9998934,1.212384,0.0152892675,1
24.930446,500000,1.3405725,11.50019393939394,0.06917047979361562,-5.565669455509734,1.7765785484602508,0.9999999980677478,9,9.24,0.2,4.44319,0.081853494,0.9996741,1.1948432,0.018315395,1
24.956744,500000,1.3380733,11.486555555555556,0.10672235973298122,-5.595614069338777,1.8719572244134168,0.9999999979886505,10,10.28,0.2,4.946138,0.095789425,0.99940556,1.1771091,0.017413508,1
24.662498,500000,1.3192221,11.457723232323232,0.12111397987701011,-5.966527069016245,1.9006482626361245,0.999999997931702,11,11.33,0.2,6.4205832,0.07886635,0.999522,1.1595219,0.018499516,1
24.818006,500000,1.3779964,11.472713131313132,0.10341173177225796,-5.813298281162113,1.836972000488237,0.9999999980691832,12,12.36,0.2,4.4387665,0.13112374,0.9999639,1.1422232,0.018187582,1
24.193606,500000,1.2874773,11.453909090909091,0.14315225854653868,-5.606540559167415,2.076273980809,0.9999999978850462,13,13.37,0.2,3.7851353,0.12126423,0.9995992,1.1207336,0.015621394,1
24.328084,500000,1.4286038,11.472622222222222,0.14027035643044772,-5.852599487669905,1.8714210195276269,0.9999999979813956,14,14.4,0.2,4.8901176,0.13318019,1.000197,1.10914,0.018512426,1
24.668648,500000,1.4127053,11.473161616161617,0.10676074305839439,-5.2007072789320015,1.726672818785058,0.9999999981440125,15,15.44,0.2,4.5055623,0.08345265,1.0001754,1.1065639,0.014289976,1
24.324418,500000,1.4686784,11.495626262626262,0.11809251140858223,-5.708135260782258,1.8529780568836223,0.9999999980289809,16,16.48,0.2,5.4198093,0.13703747,0.9998514,1.0919298,0.014150089,1
24.374032,500000,1.5271676,11.486377777777777,0.11330295115194752,-5.549842910211629,1.816923260647206,0.9999999980961408,17,17.56,0.2,7.6410737,0.15295288,1.0002365,1.0726398,0.016708586,1
24.140864,500000,1.394348,11.491153535353535,0.10248117267057495,-6.902636620823317,1.8706339602095008,0.9999999980390661,18,18.64,0.2,5.0549574,0.12537195,0.9997575,1.0565039,0.014641647,1
24.161436,500000,1.4995387,11.496137373737374,0.10016758213620475,-5.771201707721232,1.7158661227031073,0.9999999981571961,19,19.73,0.2,5.625062,0.06685751,1.0003378,1.0490748,0.01792649,1
23.9525,500000,1.2961098,11.498375757575758,0.13018463527665644,-5.710101233936539,1.7801114122733328,0.9999999980764449,20,20.83,0.2,5.6760516,0.018372925,1.0006684,1.0415791,0.022063756,1
24.050808,500000,1.3994458,11.559539393939394,0.09522437422268369,-5.841787866497518,1.8563080830831107,0.9999999980714629,21,21.9,0.2,4.8509,0.08718863,1.0004073,1.0268347,0.017767208,1
23.728852,500000,1.4788927,11.541054545454545,0.1048989783732618,-6.446171317683287,1.8816848165120441,0.9999999980337471,22,22.97,0.2,7.521607,0.11074062,1.0000796,1.0118796,0.014733227,1
23.763632,500000,1.4564297,11.54650909090909,0.06464433044809201,-6.892520926719103,1.6916639005813845,0.9999999981121948,23,24.04,0.2,5.18761,0.06469592,0.99990505,1.0000436,0.015196865,1
23.765822,500000,1.4194883,11.538151515151515,0.04889913954945293,-6.482880598860448,1.7559686260569034,0.9999999980219233,24,25.08,0.2,3.921884,0.15703487,1.0002472,0.9776684,0.013816156,1
23.831084,500000,1.3028183,11.548032323232324,0.043398235459134384,-7.051458965753699,1.8195321868989733,0.9999999980070425,25,26.13,0.2,4.8718486,0.15256557,1.0002688,0.9716515,0.012891925,1
23.673086,500000,1.4252266,11.538953535353535,0.06678090575044118,-6.5680213500111,1.7823843559530759,0.9999999980819311,26,27.17,0.2,4.8492846,0.048980825,0.99983776,0.95861083,0.017451504,1
23.518776,500000,1.3735414,11.536620202020202,0.11342501295786364,-7.498376694108299,1.8061425532354431,0.9999999979113562,27,28.2,0.2,8.088884,0.11484182,1.0000007,0.9535525,0.019183313,1
23.817012,500000,1.3324916,11.537442424242425,0.09311116741255733,-6.2806053962875,2.013411418581894,0.9999999979709899,28,29.24,0.2,7.330664,0.11538047,1.0007241,0.936358,0.020402344,1
23.706044,500000,1.2732004,11.51729494949495,0.09169371357238554,-6.287900006701525,1.8022661778412723,0.9999999979886313,29,30.29,0.2,7.5695143,0.10579555,1.000117,0.9192714,0.015726697,1
23.546858,500000,1.4699643,11.511638383838385,0.06518746580130215,-7.291716232615593,1.7051701644914963,0.9999999980684542,30,31.34,0.2,7.174564,0.1387002,0.9997177,0.91816443,0.016141336,1
23.397966,500000,1.4209415,11.507454545454545,0.049504657929178006,-5.934464643947316,1.7605074643042369,0.9999999980377048,31,32.38,0.2,6.2343054,0.10443767,0.99991876,0.9086325,0.016543273,1
23.9112,500000,1.5621094,11.53640404040404,0.00502254142396551,-6.706163389068694,1.742785258190004,0.9999999981513248,32,33.43,0.2,6.275366,0.13331206,1.0000759,0.91033775,0.01450756,1
23.65192,500000,1.3930774,11.561220202020202,0.03477298765130129,-6.911304684615688,1.7186569650197518,0.9999999980953197,33,34.45,0.2,5.493656,0.102423646,1.0000986,0.89565563,0.012012363,1
