_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL
15.70784,1000000,0.23351632,12.0,-0.0008506772784310272,-7.863854087899944,2.3271475291495136,0.999999972720254,1,7.84,0.2,119.90151,0.045945916,0.93434715,2.4900753,0.04924198
14.523442,1000000,0.5907747,12.0,0.0706942032142909,-7.996641332306737,1.9178950100739458,0.9999999839178714,2,14.05,0.2,3.3619843,0.002719464,1.006316,2.4951127,0.044003025
13.27552,1000000,0.8132784,12.0,0.20401710480300483,-9.876280754224485,1.9014454113913488,0.9999999860223255,3,21.11,0.2,5.6049466,0.0017833243,1.0349351,2.622139,0.062228817
12.337928,1000000,1.1106032,12.0,0.25647026643240867,-8.727735595379396,1.8290095883148134,0.9999999872242207,4,26.66,0.2,479.5969,0.08584521,0.995202,2.6849551,0.057036974
11.497585,1000000,1.0290506,12.0,0.2685085171870093,-8.90304566428922,1.698504664568864,0.9999999879490511,5,32.44,0.2,24.06321,0.14575426,0.965041,2.5991006,0.031513195
10.651122,1000000,1.0659592,12.0,0.2947227743613059,-12.345447114144644,1.625423959696857,0.9999999882790143,6,39.44,0.2,10.313079,0.15242359,0.9893968,2.5755737,0.025034476
10.104382,1000000,1.1869247,12.0,0.29688397980803516,-10.959434108611616,1.594414136590484,0.9999999879276997,7,44.72,0.2,4.3676767,0.12828828,0.97959167,2.5169888,0.026181966
9.557099,1000000,1.0845326,12.0,0.2645404827144547,-10.862545867785649,1.4852265681606183,0.9999999887738983,8,50.38,0.2,3.2941864,0.039691385,0.97023064,2.4514978,0.025124285
9.129161,1000000,1.1410403,12.0,0.26355597757892213,-14.653731930915955,1.395634165108299,0.9999999884432779,9,57.43,0.2,124.5337,0.061906315,0.9838574,2.43916,0.031077154
8.688712,1000000,1.0819514,12.0,0.3150934773910736,-10.856654493880491,1.4633019048231621,0.9999999875187945,10,62.68,0.2,4.953888,0.07563333,0.9763596,2.3637297,0.032071244
8.564719,1000000,1.2638241,12.0,0.23036165822066212,-10.90080403165785,1.36409135502242,0.9999999879931682,11,68.11,0.2,5.452499,0.124059595,1.0310023,2.362529,0.029422462
