_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,_lr_multiplier
7.218422,500000,0.59232944,49.21169090909091,-0.005107460473634196,-8.408977835181165,1.4807016727330606,0.9999999906425082,1,5.36,0.2,8.523032,0.004589691,1.000059,0.5147774,0.009652038,1
7.349364,500000,0.96965283,49.08492525252525,0.0025305049034152712,-8.01519640317902,1.5120788076797191,0.9999999926229469,2,10.8,0.2,13.651464,0.004193755,0.9998353,0.5151048,0.010528009,1
7.318482,500000,1.1134819,49.161212121212124,0.002530025854806406,-10.179419842063016,1.370526907108299,0.9999999933929328,3,16.25,0.2,6.949167,0.089406595,0.99989444,0.5205838,0.009237839,1
7.233536,500000,1.1277686,49.480650505050505,-0.008045186576331282,-8.43134819312645,1.3448740952498792,0.9999999934788921,4,21.75,0.2,5.9798074,0.04487544,0.999942,0.521316,0.011171114,1
7.196186,500000,1.1357367,49.49600404040404,0.02423983593779782,-7.815596949220794,1.3970051175570426,0.9999999934177349,5,27.22,0.2,5.9157424,0.05621127,0.99991035,0.5288566,0.012362023,1
7.164376,500000,1.2430098,49.76989494949495,0.02665556122219011,-9.19179126278976,1.4056038481128739,0.9999999938103229,6,32.72,0.2,6.1170144,0.109407894,1.0002025,0.53351736,0.010122647,1
7.1582,500000,1.162783,49.76107878787879,0.014102663085504764,-7.915920051696326,1.3361089261115675,0.9999999938464523,7,38.19,0.2,5.645721,0.04261898,1.0000441,0.5349588,0.011464986,1
7.04028,500000,1.1632477,49.91593535353535,0.034145013733537184,-8.02826768853346,1.3058630422869713,0.999999993534125,8,43.67,0.2,7.31616,0.11363533,1.0000148,0.54113096,0.009664525,1
7.03471,500000,1.0561206,49.92156767676768,0.057481837729323436,-7.376221740507821,1.5106641553939992,0.9999999929120877,9,49.17,0.2,5.254055,0.017715832,0.9998986,0.5431256,0.010594154,1
7.020994,500000,1.0202242,49.58262828282828,0.043781260026017614,-9.063452812245924,1.3822677886381491,0.9999999932463121,10,54.67,0.2,6.3827853,0.052430492,1.0001079,0.5475469,0.009522425,1
